Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2022,6,miches1,Sony Michel,RB,LAC,DEN,15.0,5,3.7,0.0,0.0,0.0,0.0,0.0,4.0,14.9,0.0,1.0,8.2,0.0,0.0,0.7,0.4,0.0,0.0,0.0,C-Game
2022,6,stronp1,Pierre Strong Jr.,RB,NE,@CLE,25.7,30,3.6,0.0,0.0,0.0,0.0,0.0,5.2,18.7,0.1,0.6,4.2,0.0,0.0,0.9,0.2,0.0,0.0,0.0,C-Game
2022,6,gainwk1,Kenneth Gainwell,RB,PHI,DAL,15.6,10,3.6,0.0,0.0,0.0,0.0,0.0,3.3,12.0,0.2,0.7,3.7,0.0,0.0,0.6,0.2,0.0,0.0,0.0,C-Game
2022,6,pachei1,Isiah Pacheco,RB,KC,BUF,18.2,20,3.3,0.0,0.0,0.0,0.0,0.0,6.4,21.3,0.2,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,C-Game
2022,6,ingram1,Mark Ingram,RB,NO,CIN,16.2,14,3.1,0.0,0.0,0.0,0.0,0.0,3.3,10.4,0.1,0.8,5.5,0.0,0.0,0.5,0.3,0.0,0.0,0.0,C-Game
2022,6,cookj3,James Cook,RB,BUF,@KC,19.9,23,3.1,0.0,0.0,0.0,0.0,0.0,5.1,18.0,0.1,0.5,3.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,C-Game
2022,6,willia4,Avery Williams,RB,ATL,SF,15.5,9,2.8,0.0,0.0,0.0,0.0,0.0,3.2,11.6,0.0,0.8,6.0,0.0,0.0,0.6,0.3,0.0,0.0,0.0,C-Game
2022,6,scottb2,Boston Scott,RB,PHI,DAL,15.6,10,2.5,0.0,0.0,0.0,0.0,0.0,2.7,9.6,0.2,0.3,1.2,0.0,0.0,0.5,0.1,0.0,0.0,0.0,C-Game
2022,6,juszck1,Kyle Juszczyk,RB,SF,@ATL,19.7,22,2.4,0.0,0.0,0.0,0.0,0.0,0.7,2.0,0.1,0.7,5.8,0.1,0.0,0.1,0.3,0.0,0.0,0.0,C-Game
2022,6,ricarp1,Patrick Ricard,RB,BAL,@NYG,16.3,15,2.2,0.0,0.0,0.0,0.0,0.0,0.9,2.9,0.0,0.9,8.1,0.0,0.0,0.1,0.4,0.0,0.0,0.0,C-Game
2022,6,ahmeds1,Salvon Ahmed,RB,MIA,MIN,17.7,19,1.9,0.0,0.0,0.0,0.0,0.0,2.9,7.7,0.0,0.6,4.8,0.0,0.0,0.4,0.2,0.0,0.0,0.0,C-Game
2022,6,hamc1,C.J. Ham,RB,MIN,@MIA,22.7,27,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,5.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,C-Game
2022,6,breidm1,Matt Breida,RB,NYG,BAL,15.8,12,1.4,0.0,0.0,0.0,0.0,0.0,1.7,7.5,0.0,0.4,3.1,0.0,0.0,0.4,0.1,0.0,0.0,0.0,C-Game
