Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade,Y! (Proj),Y! ($),Y! (Val),Y! (Pt/$),Y! (Flr),Y! (Flr Val),Y! (Floor/$),Y! (Ceil),Y! (Ceil Val),Y! (Ceil/$),Y! (Wk $ Chg),O/U,Line,Team O/U
2022,6,huntk1,Kareem Hunt,RB,CLE,NE,14.0,4,8.7,0.0,0.0,0.0,0.0,0.0,9.2,38.9,0.3,2.8,18.5,0.2,0.0,1.9,0.9,0.1,0.0,0.0,C-Game,10.1,16.0,3.3,0.63,1.9,-4.83,0.12,18.7,12.01,1.17,--,43.000,-2.5,22.75
2022,6,allget1,Tyler Allgeier,RB,ATL,SF,15.5,9,7.9,0.0,0.0,0.0,0.0,0.0,13.9,50.4,0.4,1.2,8.1,0.0,0.0,2.5,0.4,0.1,0.0,0.0,C-Game,8.5,12.0,3.5,0.71,1.6,-3.41,0.14,17.6,12.58,1.47,--,46.000,4.5,20.75
2022,6,pollat1,Tony Pollard,RB,DAL,@PHI,15.2,7,7.9,0.0,0.0,0.0,0.0,0.0,8.7,44.8,0.3,1.8,14.4,0.1,0.0,2.2,0.7,0.1,0.0,0.0,C-Game,8.8,17.0,1.6,0.52,1.7,-5.46,0.10,17.8,10.62,1.04,--,42.000,6.500,17.75
2022,6,lindsp1,Phillip Lindsay,RB,IND,JAX,18.6,21,6.7,0.0,0.0,0.0,0.0,0.0,10.3,33.4,0.3,1.8,13.3,0.1,0.0,1.7,0.6,0.1,0.0,0.0,C-Game,7.6,13.0,2.2,0.59,0.7,-4.79,0.05,16.8,11.36,1.29,--,41.000,-1.5,21.25
2022,6,herbek1,Khalil Herbert,RB,CHI,WAS,15.4,8,6.1,0.0,0.0,0.0,0.0,0.0,7.9,41.2,0.2,1.0,8.3,0.0,0.0,2.1,0.4,0.1,0.0,0.0,C-Game,6.6,17.0,-0.5,0.39,0.9,-6.24,0.05,16.0,8.87,0.94,--,38.500,1,18.75
2022,6,boonem1,Mike Boone,RB,DEN,@LAC,23.0,29,5.9,0.0,0.0,0.0,0.0,0.0,5.7,33.5,0.1,2.3,19.3,0.1,0.0,1.7,0.9,0.1,0.0,0.0,C-Game,7.1,14.0,1.2,0.51,1.3,-4.54,0.10,16.4,10.54,1.17,--,45.500,4.500,20.5
2022,6,cartem2,Michael Carter,RB,NYJ,@GB,16.5,16,5.5,0.0,0.0,0.0,0.0,0.0,6.4,30.8,0.2,2.9,14.5,0.0,0.0,1.5,0.7,0.1,0.0,0.0,C-Game,7.0,16.0,0.2,0.44,0.9,-5.78,0.06,16.3,9.60,1.02,--,45.000,7.500,18.75
2022,6,ingrak1,Keaontay Ingram,RB,ARI,@SEA,22.7,28,4.9,0.0,0.0,0.0,0.0,0.0,7.8,28.8,0.2,0.7,6.8,0.0,0.0,1.4,0.3,0.0,0.0,0.0,C-Game,5.3,10.0,1.1,0.53,0.0,-4.20,0.00,14.9,10.71,1.49,--,50.500,-2.500,26.5
2022,6,mckisj1,J.D. McKissic,RB,WAS,@CHI,21.0,26,4.9,0.0,0.0,0.0,0.0,0.0,2.3,11.1,0.1,3.7,27.2,0.1,0.0,0.6,1.2,0.0,0.0,0.0,C-Game,6.7,12.0,1.7,0.56,0.7,-4.33,0.06,16.1,11.01,1.34,--,38.500,-1.000,19.75
2022,6,whiter5,Rachaad White,RB,TB,@PIT,15.8,11,4.7,0.0,0.0,0.0,0.0,0.0,5.5,16.3,0.3,2.0,15.2,0.0,0.0,0.8,0.7,0.0,0.0,0.0,C-Game,5.7,12.0,0.6,0.47,0.0,-5.01,0.00,15.2,10.16,1.27,--,46.000,-9.500,27.75
